               ,DSO 1     ,DSO 1     ,DSO 1     ,DSO 1     ,DSO 2     ,DSO 2     ,DSO 2     ,DSO 2     ,          
Sample         ,Channel1  ,Channel2  ,Channel3  ,Channel4  ,Channel1  ,Channel2  ,Channel3  ,Channel4  , Timestamp
 DSO 2      115,          ,          ,          ,          ,0.429     ,0.111     ,0.528     ,0.0147    ,  -6993174
 DSO 1      120,0.667     ,4.17      ,-1.19     ,0.0437    ,          ,          ,          ,          ,  -6992237
 DSO 2      116,          ,          ,          ,          ,0.885     ,0.726     ,0.786     ,0.0210    ,  -6983174
 DSO 1      121,0.794     ,-3.77     ,0.20      ,0.0833    ,          ,          ,          ,          ,  -6982237
 DSO 2      117,          ,          ,          ,          ,0.746     ,0.964     ,0.587     ,0.0179    ,  -6973174
 DSO 1      122,0.460     ,-3.17     ,3.37      ,0.0476    ,          ,          ,          ,          ,  -6972237
 DSO 2      118,          ,          ,          ,          ,0.607     ,0.706     ,0.687     ,0.0246    ,  -6963174
 DSO 1      123,0.540     ,4.17      ,2.18      ,0.0734    ,          ,          ,          ,          ,  -6962237
 DSO 2      119,          ,          ,          ,          ,0.389     ,0.409     ,0.508     ,0.0250    ,  -6953174
 DSO 1      124,0.524     ,-1.79     ,3.77      ,0.0794    ,          ,          ,          ,          ,  -6952237
 DSO 2      120,          ,          ,          ,          ,0.409     ,0.012     ,0.349     ,0.0167    ,  -6943174
 DSO 1      125,0.524     ,-2.58     ,0.99      ,0.0635    ,          ,          ,          ,          ,  -6942237
 DSO 2      121,          ,          ,          ,          ,0.091     ,0.131     ,0.290     ,0.0175    ,  -6933174
 DSO 1      126,0.698     ,-2.78     ,-2.38     ,0.0397    ,          ,          ,          ,          ,  -6932237
 DSO 2      122,          ,          ,          ,          ,0.091     ,0.230     ,0.508     ,0.0190    ,  -6923174
